strategy,block_id,outer_seed,outer_path_index,path_uid,payoff_K,premium_K,premium_terminal_K,hedge_error_K,abs_hedge_error_K
oracle_rqmc,3,12301,464,b3_p00464,0.017794915835124492,0.010719333001557797,0.011045785292412793,-0.005802333490548475,0.005802333490548475
oracle_rqmc,2,12201,471,b2_p00471,0.0,0.010719333001557797,0.011045785292412793,0.0057558226379339494,0.0057558226379339494
oracle_rqmc,1,12101,474,b1_p00474,0.0,0.010719333001557797,0.011045785292412793,-0.005713919614885441,0.005713919614885441
oracle_rqmc,3,12301,447,b3_p00447,0.0,0.010719333001557797,0.011045785292412793,-0.005705930960697542,0.005705930960697542
oracle_rqmc,2,12201,20,b2_p00020,0.04623259263245205,0.010719333001557797,0.011045785292412793,-0.005705496318546846,0.005705496318546846
oracle_rqmc,4,12401,380,b4_p00380,0.0,0.010719333001557797,0.011045785292412793,-0.00570395179672179,0.00570395179672179
oracle_rqmc,4,12401,141,b4_p00141,0.0,0.010719333001557797,0.011045785292412793,-0.005685626026322587,0.005685626026322587
oracle_rqmc,4,12401,350,b4_p00350,0.018342026411683365,0.010719333001557797,0.011045785292412793,-0.005678672279897214,0.005678672279897214
oracle_rqmc,3,12301,383,b3_p00383,0.018472803321198272,0.010719333001557797,0.011045785292412793,-0.005642640604647723,0.005642640604647723
oracle_rqmc,1,12101,157,b1_p00157,0.004849426739259144,0.010719333001557797,0.011045785292412793,0.005613168318932112,0.005613168318932112
oracle_rqmc,4,12401,509,b4_p00509,0.0,0.010719333001557797,0.011045785292412793,-0.0054786023152038985,0.0054786023152038985
oracle_rqmc,1,12101,151,b1_p00151,0.003360426722865295,0.010719333001557797,0.011045785292412793,0.005475450271120116,0.005475450271120116
oracle_rqmc,2,12201,76,b2_p00076,0.004935014150241557,0.010719333001557797,0.011045785292412793,-0.005433395901384095,0.005433395901384095
mlp_ensemble,3,12301,22,b3_p00022,0.0,0.010719333001557797,0.011045785292412793,1.683016035646306,1.683016035646306
mlp_ensemble,3,12301,236,b3_p00236,0.0,0.010719333001557797,0.011045785292412793,-1.0283470686960625,1.0283470686960625
mlp_ensemble,3,12301,195,b3_p00195,0.0,0.010719333001557797,0.011045785292412793,1.000252027815135,1.000252027815135
mlp_ensemble,4,12401,78,b4_p00078,0.007480327591576907,0.010719333001557797,0.011045785292412793,0.8530509682069566,0.8530509682069566
mlp_ensemble,4,12401,499,b4_p00499,0.0,0.010719333001557797,0.011045785292412793,-0.8303467999789105,0.8303467999789105
mlp_ensemble,4,12401,86,b4_p00086,0.0,0.010719333001557797,0.011045785292412793,-0.7504787742304769,0.7504787742304769
mlp_ensemble,3,12301,24,b3_p00024,0.0,0.010719333001557797,0.011045785292412793,-0.7437931121943003,0.7437931121943003
mlp_ensemble,2,12201,11,b2_p00011,0.0,0.010719333001557797,0.011045785292412793,0.6715787830277585,0.6715787830277585
mlp_ensemble,3,12301,497,b3_p00497,0.0,0.010719333001557797,0.011045785292412793,-0.6294979969295048,0.6294979969295048
mlp_ensemble,4,12401,245,b4_p00245,0.0,0.010719333001557797,0.011045785292412793,-0.6282766538408099,0.6282766538408099
mlp_ensemble,4,12401,397,b4_p00397,0.0,0.010719333001557797,0.011045785292412793,0.6196066093137608,0.6196066093137608
mlp_ensemble,3,12301,281,b3_p00281,0.0,0.010719333001557797,0.011045785292412793,-0.6157172226866062,0.6157172226866062
mlp_ensemble,1,12101,111,b1_p00111,0.0,0.010719333001557797,0.011045785292412793,0.6069055579058581,0.6069055579058581
mlp_ensemble,1,12101,64,b1_p00064,0.0,0.010719333001557797,0.011045785292412793,0.578332698002416,0.578332698002416
mlp_ensemble,4,12401,487,b4_p00487,0.0,0.010719333001557797,0.011045785292412793,0.55596800394465,0.55596800394465
mlp_ensemble,3,12301,9,b3_p00009,0.0,0.010719333001557797,0.011045785292412793,0.5271092928168828,0.5271092928168828
mlp_ensemble,2,12201,401,b2_p00401,0.0,0.010719333001557797,0.011045785292412793,-0.5060771591691454,0.5060771591691454
mlp_ensemble,2,12201,22,b2_p00022,0.0,0.010719333001557797,0.011045785292412793,-0.4993486477994959,0.4993486477994959
mlp_ensemble,1,12101,18,b1_p00018,0.0,0.010719333001557797,0.011045785292412793,-0.4812917843666493,0.4812917843666493
mlp_ensemble,2,12201,388,b2_p00388,0.0,0.010719333001557797,0.011045785292412793,-0.46236170109680536,0.46236170109680536
mlp_ensemble,1,12101,160,b1_p00160,0.0,0.010719333001557797,0.011045785292412793,0.4608496145360378,0.4608496145360378
mlp_ensemble,1,12101,293,b1_p00293,0.0,0.010719333001557797,0.011045785292412793,-0.4592297459868908,0.4592297459868908
mlp_ensemble,2,12201,223,b2_p00223,0.0,0.010719333001557797,0.011045785292412793,-0.45857932755887615,0.45857932755887615
mlp_ensemble,3,12301,209,b3_p00209,0.0,0.010719333001557797,0.011045785292412793,-0.4509793991847982,0.4509793991847982
mlp_ensemble,4,12401,157,b4_p00157,0.0,0.010719333001557797,0.011045785292412793,-0.4442001878009721,0.4442001878009721
mlp_ensemble,3,12301,109,b3_p00109,0.0036235968769806615,0.010719333001557797,0.011045785292412793,-0.4437646422921543,0.4437646422921543
mlp_ensemble,1,12101,95,b1_p00095,0.0,0.010719333001557797,0.011045785292412793,-0.4377981756143941,0.4377981756143941
mlp_ensemble,2,12201,25,b2_p00025,0.0,0.010719333001557797,0.011045785292412793,0.43318201924542865,0.43318201924542865
mlp_ensemble,2,12201,246,b2_p00246,0.0,0.010719333001557797,0.011045785292412793,-0.432968150719193,0.432968150719193
mlp_ensemble,1,12101,286,b1_p00286,0.0,0.010719333001557797,0.011045785292412793,0.4305013764798429,0.4305013764798429
mlp_ensemble,2,12201,361,b2_p00361,0.0,0.010719333001557797,0.011045785292412793,-0.4182194474860854,0.4182194474860854
mlp_ensemble,3,12301,458,b3_p00458,0.0,0.010719333001557797,0.011045785292412793,0.41296678025211037,0.41296678025211037
mlp_ensemble,1,12101,470,b1_p00470,0.0,0.010719333001557797,0.011045785292412793,0.40425455112667075,0.40425455112667075
mlp_ensemble,1,12101,370,b1_p00370,0.0,0.010719333001557797,0.011045785292412793,0.39672533203714583,0.39672533203714583
mlp_ensemble,3,12301,315,b3_p00315,0.0,0.010719333001557797,0.011045785292412793,-0.3965884864844531,0.3965884864844531
mlp_ensemble,1,12101,150,b1_p00150,0.0,0.010719333001557797,0.011045785292412793,-0.3929407619544845,0.3929407619544845
mlp_ensemble,4,12401,176,b4_p00176,0.0,0.010719333001557797,0.011045785292412793,-0.38397457489347625,0.38397457489347625
mlp_ensemble,3,12301,324,b3_p00324,0.0,0.010719333001557797,0.011045785292412793,0.38382138798741383,0.38382138798741383
mlp_ensemble,3,12301,80,b3_p00080,0.0,0.010719333001557797,0.011045785292412793,-0.37053884879628896,0.37053884879628896
mlp_ensemble,3,12301,55,b3_p00055,0.0,0.010719333001557797,0.011045785292412793,0.35568974927432523,0.35568974927432523
mlp_ensemble,1,12101,195,b1_p00195,0.0,0.010719333001557797,0.011045785292412793,0.3546692119214024,0.3546692119214024
mlp_ensemble,2,12201,204,b2_p00204,0.0,0.010719333001557797,0.011045785292412793,-0.35048111482530575,0.35048111482530575
mlp_ensemble,3,12301,487,b3_p00487,0.0,0.010719333001557797,0.011045785292412793,0.34912475669329796,0.34912475669329796
mlp_ensemble,4,12401,253,b4_p00253,0.0,0.010719333001557797,0.011045785292412793,-0.3458164527427733,0.3458164527427733
